ID,Date,Maintenance Type,Price,Location,Remarks,Total Mileage
36,2025-12-01,Engine Oil,70RM,WeiTek JB,Motul H-Tech 10-40,18758
39,2025-08-06,Air Filter,$14.06,Myself,Bought stock at shopee,25104
40,2025-06-09,Built BikeBuddy,$0,Myself,ChatGPT did all the work,0
37,2025-03-15,Engine Oil,70RM,WeiTek JB,Motul H-Tech 10-40,21046
38,2025-03-05,Engine Oil,70RM,WeiTek JB,Motul H-Tech 10-40,23173
31,2024-10-21,Engine Oil,,WeiTek JB,,14579
13,2024-10-01,Replaced Speedometer,$280,Black Industry Kaki Bukit,Speedo water damage,21000
14,2024-10-01,Engine Oil,$20,Black Industry Kaki Bukit,,21000
29,2024-09-14,Engine Oil,75RM,Parkson Motor Service JB,,12523
30,2024-09-14,Coolant Flush,55RM,Parkson Motor Service JB,,12523
28,2024-08-13,Installed Frame Slider,,AhBoy JB,,11242
27,2024-08-13,Engine Oil,-,AhBoy JB,Motul H-Tech100,11242
26,2024-07-26,Replaced Fuel Filter,$52.50,Carousell,,9106
25,2024-07-14,Engine Oil,75RM,Parkson Motor Service JB,Seems that i did not log the previous Engine oil change,8418
35,2024-06-12,Engine Oil,75RM,Parkson Motor Service JB,Motul H-Tech 10-40,16580
24,2024-04-30,Replaced Plug Cap,$92,Sports Motor Woodlands,,5013
23,2024-04-30,Spark Plug,$25,Sports Motor Woodlands,Stock,5013
22,2024-04-30,Tyre Balancing,$50,Sports Motor Woodlands,,5013
21,2024-04-14,Engine Oil,$23.99,Myself,Motul H-Tech100,3968
33,2024-04-12,Brake Flush,$60,Sports Motor Woodlands,,16497
34,2024-04-12,Brake Pad,$30,Sports Motor Woodlands,,16497
32,2024-04-12,Spark Plug,$20,Sports Motor Woodlands,,16497
20,2024-02-26,Replaced Brake Pad,$28,Erzat Lee Kaki Bukit,Front brake,2256
19,2024-02-24,Replaced Brake Rod,$75,Sports Motor Woodlands,Front brake,2150
18,2024-02-16,Air Filter,$35,Erzat Lee Kaki Bukit,,1936
16,2024-02-16,Tyre Change,$235,Erzat Lee Kaki Bukit,Rosso Sport. No balancing,1936
17,2024-02-16,Replaced Tyre Bearing,$40,Erzat Lee Kaki Bukit,Front tyre,1936
15,2024-02-15,Engine Oil,$18.60,Myself,Motul 7100 10W-50,1891
11,2023-10-20,Replaced Suspension,$350,Sports Motor Woodlands,Bought YSS G-Sport Suspension from qmotorparts for $315,-
12,2023-10-20,Brake Flush,$35,Sports Motor Woodlands,Liquimoly DOT4,
10,2023-09-28,Engine Oil,$24,Sports Motor Woodlands,Used Liquimoly 10W-50.,17775
9,2023-08-21,Engine Oil,$24,Sports Motor Woodlands,Used Liquimoly 10W-50. Mechanic advised to use 10W-40 for Honda bikes as 10W-50 will make the clutch plates stick.,15540
3,2023-08-06,Coolant Flush,$25,Erzat Lee Woodlands,Liquimoly,10207
2,2023-08-06,Connect Camera,-,Erzat Lee Woodlands,-,10207
8,2023-07-21,Engine Oil,$34,Sports Motor Woodlands,EO price $24,-
7,2023-06-22,Spark Plug,$25,Sports Motor Woodlands,Price is $10 with $15 labour,11217
6,2023-06-22,Air Filter,$28,Sports Motor Woodlands,,11217
5,2023-06-22,Engine Oil,$40,Sports Motor Woodlands,Bought 2,11217
4,2023-06-14,IU at Fork,$120,-,I think i got scammed,-
1,2023-06-06,Bike Collection,$9500,Myself,"New EO, New tyres, New chain",10000
